Location: [38.40350566], [79.37024802]		Wealth: 101076.14333864852	SA: [0.74049427]		Phone Type: Android
Location: [37.96839021], [79.22588222]		Wealth: 97173.12388579304	SA: [0.51179397]		Phone Type: Android
Location: [37.68031315], [79.59008327]		Wealth: 130228.69129355373	SA: [0.11126607]		Phone Type: Apple
Location: [37.63428439], [79.39661482]		Wealth: 84806.99561918355	SA: [0.26786239]		Phone Type: Android
Location: [37.97013016], [79.60363297]		Wealth: 80580.52939811799	SA: [0.43223898]		Phone Type: Apple
Location: [38.19068305], [79.11194717]		Wealth: 65262.87544126249	SA: [0.69877541]		Phone Type: Android
Location: [38.1872722], [79.4316969]		Wealth: 113711.09838669447	SA: [0.27400616]		Phone Type: Android
Location: [37.54466732], [78.8661399]		Wealth: 126703.08054761605	SA: [0.98076644]		Phone Type: Apple
Location: [37.93541581], [78.81569895]		Wealth: 85730.03439421038	SA: [0.72686158]		Phone Type: Apple
Location: [37.58379378], [79.42174128]		Wealth: 55129.63224414158	SA: [0.009199]		Phone Type: Android
Location: [37.67694131], [79.15375132]		Wealth: 88163.77656549672	SA: [0.9963753]		Phone Type: Android
Location: [38.39757158], [78.96919613]		Wealth: 120942.7571359122	SA: [0.95189459]		Phone Type: Android
Location: [38.39901214], [79.15221354]		Wealth: 98519.96447992124	SA: [0.48594621]		Phone Type: Android
Location: [37.52817941], [79.38970228]		Wealth: 99550.5841148668	SA: [0.45150142]		Phone Type: Apple
Location: [37.60209231], [78.78486157]		Wealth: 91238.78725694386	SA: [0.71539027]		Phone Type: Android
Location: [38.24043061], [79.47165444]		Wealth: 88351.00372637989	SA: [0.26575245]		Phone Type: Android
Location: [37.65794676], [79.24557076]		Wealth: 91748.71232241316	SA: [0.84250345]		Phone Type: Apple
Location: [37.70874106], [79.08530177]		Wealth: 90281.41261635371	SA: [0.9679924]		Phone Type: Android
Location: [37.58343479], [79.19834257]		Wealth: 104515.22741981533	SA: [0.34414085]		Phone Type: Apple
Location: [38.22271276], [78.73417438]		Wealth: 100856.09163775861	SA: [0.35768698]		Phone Type: Apple
Location: [38.02446235], [78.89284088]		Wealth: 139216.76563254633	SA: [0.41568623]		Phone Type: Android
Location: [37.59670246], [79.19974515]		Wealth: 99818.33903439417	SA: [0.91731505]		Phone Type: Android
Location: [38.41729392], [79.62821084]		Wealth: 103733.82703838072	SA: [0.7287173]		Phone Type: Android
Location: [37.97307114], [79.36083091]		Wealth: 95789.65892182148	SA: [0.70806448]		Phone Type: Android
Location: [37.90715241], [79.14464168]		Wealth: 135407.43745233753	SA: [0.24087375]		Phone Type: Apple
Location: [38.00126514], [79.32306301]		Wealth: 115099.6309444959	SA: [0.97271477]		Phone Type: Android
Location: [37.93045955], [79.58298184]		Wealth: 76334.08391343355	SA: [0.90775669]		Phone Type: Android
Location: [37.97451374], [78.86231961]		Wealth: 101198.39803515043	SA: [0.4463276]		Phone Type: Apple
Location: [38.2993074], [79.63152633]		Wealth: 87525.3616931201	SA: [0.02376157]		Phone Type: Apple
Location: [38.28786258], [79.24961066]		Wealth: 121401.69698831547	SA: [0.07896298]		Phone Type: Android
Location: [38.07303137], [79.0625305]		Wealth: 116723.08392891726	SA: [0.6511451]		Phone Type: Apple
Location: [37.75337213], [79.18696897]		Wealth: 55666.77199391282	SA: [0.99559033]		Phone Type: Apple
Location: [38.10704223], [79.35762497]		Wealth: 140694.42440026184	SA: [0.22236511]		Phone Type: Apple
Location: [37.99706639], [79.11051159]		Wealth: 99053.7016959471	SA: [0.76901885]		Phone Type: Android
Location: [37.61665392], [78.9638518]		Wealth: 100882.5301598302	SA: [0.79011715]		Phone Type: Apple
Location: [38.39837532], [79.39465467]		Wealth: 85755.36786759416	SA: [0.15142396]		Phone Type: Apple
Location: [37.53589026], [78.99212424]		Wealth: 79741.82419695095	SA: [0.81125356]		Phone Type: Android
Location: [37.71267348], [78.66343051]		Wealth: 101278.1634635813	SA: [0.68642042]		Phone Type: Android
Location: [37.58470697], [78.93178465]		Wealth: 118398.34052039146	SA: [0.704861]		Phone Type: Android
Location: [37.96338526], [78.89218839]		Wealth: 81036.1443861848	SA: [0.88139081]		Phone Type: Android
Location: [37.91808372], [79.65550621]		Wealth: 86267.26931545028	SA: [0.06200676]		Phone Type: Apple
Location: [37.98099634], [79.10842287]		Wealth: 89265.5668404302	SA: [0.8345625]		Phone Type: Apple
Location: [37.9613042], [78.95856583]		Wealth: 73791.86276065558	SA: [0.09197348]		Phone Type: Android
Location: [37.99464391], [79.53218429]		Wealth: 97030.38045224466	SA: [0.48215913]		Phone Type: Android
Location: [37.57381882], [79.59928256]		Wealth: 117073.45904411015	SA: [0.8066785]		Phone Type: Android
Location: [37.43311637], [79.24934348]		Wealth: 109381.74078339964	SA: [0.04770953]		Phone Type: Android
Location: [38.36190317], [79.03191386]		Wealth: 81571.85062056658	SA: [0.36509255]		Phone Type: Apple
Location: [38.06513668], [79.3417956]		Wealth: 106827.07640904063	SA: [0.28236827]		Phone Type: Android
Location: [37.85947059], [79.33885121]		Wealth: 106470.2327494115	SA: [0.02104273]		Phone Type: Android
Location: [38.38917253], [79.26906147]		Wealth: 172895.60950052337	SA: [0.32571258]		Phone Type: Apple
Location: [37.65475252], [78.86426775]		Wealth: 118941.38240992837	SA: [0.55788383]		Phone Type: Android
Location: [37.92425991], [79.24020114]		Wealth: 125572.06954810007	SA: [0.87088092]		Phone Type: Android
Location: [37.61054734], [79.3857746]		Wealth: 96365.16061499069	SA: [0.05449758]		Phone Type: Android
Location: [37.49991491], [79.37258774]		Wealth: 95943.81393235619	SA: [0.49770877]		Phone Type: Apple
Location: [37.74231904], [79.32094821]		Wealth: 104220.58503276813	SA: [0.53772154]		Phone Type: Android
Location: [37.79979557], [78.88345753]		Wealth: 71698.2998709548	SA: [0.17779968]		Phone Type: Apple
